x,y
-0.4297398699349675,20.0
-0.4342871435717859,20.0
-0.4388294147073537,20.0
-0.44336668334167084,20.0
-0.4478989494747374,20.0
-0.4524262131065533,20.0
-0.45694847423711854,20.0
-0.4614657328664332,20.0
-0.4659779889944972,20.0
-0.47048524262131064,20.0
-0.47498749374687343,20.0
-0.4794847423711856,20.0
-0.48397698849424714,20.0
-0.48846423211605805,20.0
-0.49294647323661833,20.0
-0.497423711855928,20.0
-0.5018959479739871,20.0
-0.5063631815907954,20.0
-0.5108254127063532,20.0
-0.5152826413206604,20.0
-0.5197348674337169,20.0
-0.5241820910455228,20.0
-0.5286243121560781,20.0
-0.5330615307653828,20.0
-0.5374937468734368,20.0
-0.5419209604802402,20.0
-0.5463431715857928,20.0
-0.550760380190095,20.0
-0.5551725862931466,20.0
-0.5595797898949475,20.0
-0.5639819909954977,20.0
-0.5683791895947974,20.0
-0.5727713856928464,20.0
-0.5771585792896448,20.0
-0.5815407703851926,20.0
-0.5859179589794897,20.0
-0.5902901450725363,20.0
-0.5946573286643322,20.0
-0.5990195097548775,20.0
-0.6033766883441721,20.0
-0.6077288644322161,20.0
-0.6120760380190096,20.0
-0.6164182091045523,20.0
-0.6207553776888445,20.0
-0.625087543771886,20.0
-0.6294147073536769,20.0
-0.6337368684342172,20.0
-0.6380540270135068,20.0
-0.6423661830915458,20.0
-0.6466733366683343,20.0
-0.650975487743872,20.0
-0.655272636318159,20.0
-0.6595647823911955,20.0
-0.6638519259629815,20.0
-0.6681340670335167,20.0
-0.6724112056028013,20.0
-0.6766833416708354,20.0
-0.6809504752376188,20.0
-0.6852126063031516,20.0
-0.6894697348674337,20.0
-0.6937218609304652,20.0
-0.6979689844922461,20.0
-0.7022111055527764,20.0
-0.706448224112056,20.0
-0.7106803401700851,20.0
-0.7149074537268635,20.0
-0.7191295647823912,20.0
-0.7233466733366684,20.0
-0.7275587793896949,20.0
-0.7317658829414708,20.0
-0.735967983991996,20.0
-0.7401650825412707,20.0
-0.7443571785892947,20.0
-0.7485442721360681,20.0
-0.7527263631815908,20.0
-0.756903451725863,20.0
-0.7610755377688845,20.0
-0.7652426213106553,20.0
-0.7694047023511755,20.0
-0.7735617808904451,20.0
-0.7777138569284642,20.0
-0.7818609304652326,20.0
